league_id,team_id,league,team,total_points,overall_effectivity,overall_ineffectuality,avg_points_per_match,total_matches,total_wins,total_draws,total_loses,win_pct,draw_pct,lose_pct,total_goals,total_goals_conceded,total_goals_difference,avg_goal_per_match,avg_goal_against_per_match,home,away,total_home_wins,total_home_draws,total_home_loses,total_away_wins,total_away_draws,total_away_loses,avg_home_win,avg_home_draw,avg_home_lose,avg_away_win,avg_away_draw,avg_away_lose,prop_home_win,prop_away_win,prop_home_draw,prop_away_draw,prop_home_lose,prop_away_lose,total_home_goals,total_home_goals_conceded,total_away_goals,total_away_goals_conceded,prop_home_goals,prop_away_goals,prop_home_goals_recv,prop_away_goals_recv,avg_home_goals_per_match,avg_away_goals_per_match
13274,10229,Netherlands Eredivisie,AZ,473,70.9558823529412,29.0441176470588,2,272,140,53,79,51.4705882352941,19.4852941176471,29.0441176470588,492,348,144,1,1,136,136,82,26,28,58,27,51,58.5714285714286,49.0566037735849,35.4430379746835,41.4285714285714,50.9433962264151,64.5569620253165,60.2941176470588,42.6470588235294,19.1176470588235,19.8529411764706,20.5882352941176,37.5,279,145,213,203,56.7073170731707,43.2926829268293,41.6666666666667,58.3333333333333,1.0,1.0
10257,8535,Italy Serie A,Fiorentina,471,69.0,31.0,2,300,132,75,93,44.0,25.0,31.0,440,343,97,1,1,150,150,80,37,33,52,38,60,60.6060606060606,49.3333333333333,35.4838709677419,39.3939393939394,50.6666666666667,64.5161290322581,53.3333333333333,34.6666666666667,24.6666666666667,25.3333333333333,22.0,40.0,246,153,194,190,55.9090909090909,44.0909090909091,44.6064139941691,55.3935860058309,1.0,1.0
21518,10205,Spain LIGA BBVA,Villarreal CF,407,68.796992481203,31.203007518797,2,266,112,71,83,42.1052631578947,26.6917293233083,31.203007518797,364,324,40,1,1,133,133,77,30,26,35,41,57,68.75,42.2535211267606,31.3253012048193,31.25,57.7464788732394,68.6746987951807,57.8947368421053,26.3157894736842,22.5563909774436,30.8270676691729,19.5488721804511,42.8571428571429,218,127,146,197,59.8901098901099,40.1098901098901,39.1975308641975,60.8024691358025,1.0,1.0
4769,8583,France Ligue 1,AJ Auxerre,209,67.7631578947368,32.2368421052632,1,152,53,50,49,34.8684210526316,32.8947368421053,32.2368421052632,168,162,6,1,1,76,76,31,27,18,22,23,31,58.4905660377358,54.0,36.734693877551,41.5094339622642,46.0,63.265306122449,40.7894736842105,28.9473684210526,35.5263157894737,30.2631578947368,23.6842105263158,40.7894736842105,98,72,70,90,58.3333333333333,41.6666666666667,44.4444444444444,55.5555555555556,1.0,0.0
7809,8721,Germany 1. Bundesliga,VfL Wolfsburg,418,67.6470588235294,32.3529411764706,2,272,117,67,88,43.0147058823529,24.6323529411765,32.3529411764706,463,396,67,1,1,136,136,74,31,31,43,36,57,63.2478632478633,46.2686567164179,35.2272727272727,36.7521367521367,53.7313432835821,64.7727272727273,54.4117647058824,31.6176470588235,22.7941176470588,26.4705882352941,22.7941176470588,41.9117647058824,274,182,189,214,59.1792656587473,40.8207343412527,45.959595959596,54.040404040404,1.0,1.0
7809,10189,Germany 1. Bundesliga,FC Schalke 04,438,67.6470588235294,32.3529411764706,2,272,127,57,88,46.6911764705882,20.9558823529412,32.3529411764706,426,336,90,1,1,136,136,80,24,32,47,33,56,62.992125984252,42.1052631578947,36.3636363636364,37.007874015748,57.8947368421053,63.6363636363636,58.8235294117647,34.5588235294118,17.6470588235294,24.2647058823529,23.5294117647059,41.1764705882353,252,138,174,198,59.1549295774648,40.8450704225352,41.0714285714286,58.9285714285714,1.0,1.0
21518,8302,Spain LIGA BBVA,Sevilla FC,482,67.1052631578947,32.8947368421053,2,304,139,65,100,45.7236842105263,21.3815789473684,32.8947368421053,478,397,81,1,1,152,152,91,27,34,48,38,66,65.4676258992806,41.5384615384615,34.0,34.5323741007194,58.4615384615385,66.0,59.8684210526316,31.5789473684211,17.7631578947368,25.0,22.3684210526316,43.4210526315789,285,166,193,231,59.6234309623431,40.3765690376569,41.8136020151134,58.1863979848866,1.0,1.0
4769,9853,France Ligue 1,AS Saint-Étienne,445,66.7763157894737,33.2236842105263,1,304,121,82,101,39.8026315789474,26.9736842105263,33.2236842105263,371,326,45,1,1,152,152,75,40,37,46,42,64,61.9834710743802,48.780487804878,36.6336633663366,38.0165289256198,51.219512195122,63.3663366336634,49.3421052631579,30.2631578947368,26.3157894736842,27.6315789473684,24.3421052631579,42.1052631578947,223,138,148,188,60.1078167115903,39.8921832884097,42.3312883435583,57.6687116564417,1.0,0.0
4769,10249,France Ligue 1,Montpellier Hérault SC,397,66.5413533834586,33.4586466165414,1,266,110,67,89,41.3533834586466,25.187969924812,33.4586466165414,344,307,37,1,1,133,133,71,27,35,39,40,54,64.5454545454545,40.2985074626866,39.3258426966292,35.4545454545455,59.7014925373134,60.6741573033708,53.3834586466165,29.3233082706767,20.3007518796992,30.0751879699248,26.3157894736842,40.6015037593985,193,120,151,187,56.1046511627907,43.8953488372093,39.0879478827362,60.9120521172638,1.0,1.0
4769,9851,France Ligue 1,Stade Rennais FC,424,66.4473684210526,33.5526315789474,1,304,111,91,102,36.5131578947368,29.9342105263158,33.5526315789474,367,354,13,1,1,152,152,63,50,39,48,41,63,56.7567567567568,54.9450549450549,38.2352941176471,43.2432432432432,45.0549450549451,61.7647058823529,41.4473684210526,31.5789473684211,32.8947368421053,26.9736842105263,25.6578947368421,41.4473684210526,205,161,162,193,55.858310626703,44.141689373297,45.4802259887006,54.5197740112994,1.0,1.0
13274,10228,Netherlands Eredivisie,SC Heerenveen,393,65.8088235294118,34.1911764705882,1,272,107,72,93,39.3382352941176,26.4705882352941,34.1911764705882,470,455,15,1,1,136,136,65,33,38,42,39,55,60.7476635514019,45.8333333333333,40.8602150537634,39.2523364485981,54.1666666666667,59.1397849462366,47.7941176470588,30.8823529411765,24.2647058823529,28.6764705882353,27.9411764705882,40.4411764705882,267,202,203,253,56.8085106382979,43.1914893617021,44.3956043956044,55.6043956043956,1.0,1.0
1729,8466,England Premier League,Southampton,220,65.7894736842105,34.2105263157895,1,152,60,40,52,39.4736842105263,26.3157894736842,34.2105263157895,216,180,36,1,1,76,76,36,20,20,24,20,32,60.0,50.0,38.4615384615385,40.0,50.0,61.5384615384615,47.3684210526316,31.5789473684211,26.3157894736842,26.3157894736842,26.3157894736842,42.1052631578947,134,82,82,98,62.037037037037,37.962962962963,45.5555555555556,54.4444444444444,1.0,1.0
10257,8543,Italy Serie A,Lazio,458,65.1162790697674,34.8837209302326,2,301,131,65,105,43.5215946843854,21.5946843853821,34.8837209302326,417,364,53,1,1,151,150,81,31,39,50,34,66,61.8320610687023,47.6923076923077,37.1428571428571,38.1679389312977,52.3076923076923,62.8571428571429,53.6423841059603,33.3333333333333,20.5298013245033,22.6666666666667,25.8278145695364,44.0,239,151,178,213,57.3141486810552,42.6858513189448,41.4835164835165,58.5164835164835,1.0,1.0
13274,8277,Netherlands Eredivisie,Vitesse,386,64.7058823529412,35.2941176470588,1,272,105,71,96,38.6029411764706,26.1029411764706,35.2941176470588,423,386,37,1,1,136,136,60,45,31,45,26,65,57.1428571428571,63.3802816901408,32.2916666666667,42.8571428571429,36.6197183098592,67.7083333333333,44.1176470588235,33.0882352941176,33.0882352941176,19.1176470588235,22.7941176470588,47.7941176470588,234,161,189,225,55.3191489361702,44.6808510638298,41.7098445595855,58.2901554404145,1.0,1.0
13274,9908,Netherlands Eredivisie,FC Utrecht,385,64.3382352941177,35.6617647058824,1,272,105,70,97,38.6029411764706,25.7352941176471,35.6617647058824,408,402,6,1,1,136,136,69,37,30,36,33,67,65.7142857142857,52.8571428571429,30.9278350515464,34.2857142857143,47.1428571428571,69.0721649484536,50.7352941176471,26.4705882352941,27.2058823529412,24.2647058823529,22.0588235294118,49.2647058823529,245,175,163,227,60.0490196078431,39.9509803921569,43.5323383084577,56.4676616915423,1.0,1.0
7809,9905,Germany 1. Bundesliga,1. FSV Mainz 05,329,64.2857142857143,35.7142857142857,1,238,88,65,85,36.9747899159664,27.3109243697479,35.7142857142857,320,319,1,1,1,119,119,55,29,35,33,36,50,62.5,44.6153846153846,41.1764705882353,37.5,55.3846153846154,58.8235294117647,46.218487394958,27.7310924369748,24.3697478991597,30.2521008403361,29.4117647058824,42.0168067226891,171,129,149,190,53.4375,46.5625,40.4388714733542,59.5611285266458,1.0,1.0
